slug,name,aliases,match_status,match_method,legacy_id,legacy_code,legacy_name,legacy_lines,sarthi_id,sarthi_code,sarthi_name,sarthi_commercial_name,sarthi_search_key,sarthi_lines,latitude,longitude
adarsh-nagar,ADARSH NAGAR,,matched,code,52,AHNR,ADARSH NAGAR,LN2,639ac2e6e264aca1c1ecdfbd,AHNR,ADARSH NAGAR,ADARSH NAGAR,ADARSH NAGAR,LN2,28.7144,77.1669
aiims,AIIMS,,matched,code,34,AIIMS,AIIMS,LN2,639ac2e6e264aca1c1ecdfbe,AIIMS,AIIMS,AIIMS,AIIMS,LN2,28.5668,77.2081
airport-t-3,AIRPORT (T-3),,matched,code,247,APOT,AIRPORT (T-3),LN10,639ac2e6e264aca1c1ecdfbf,APOT,AIRPORT (T-3),Airport Line - T3,AIRPORT (T-3),LN10,28.5573141,77.0869171
akshardham,AKSHARDHAM,,matched,code,211,ASDM,AKSHARDHAM,LN3,639ac2e6e264aca1c1ecdfc0,ASDM,AKSHARDHAM,asghg,AKSHARDHAM,LN3,28.618,77.2794
anand-vihar-isbt,ANAND VIHAR ISBT,,matched,code,193,AVIT,ANAND VIHAR ISBT,LN4|LN7,639ac2e6e264aca1c1ecdfc1,AVIT,ANAND VIHAR ISBT,ANAND VIHAR ISBT,ANAND VIHAR ISBT,"LN4,LN7",28.647,77.3159
arjan-garh,ARJAN GARH,,matched,code,42,AJG,ARJAN GARH,LN2,639ac2e6e264aca1c1ecdfc2,AJG,ARJAN GARH,,ARJAN GARH,LN2,28.4809,77.1259
arthala,ARTHALA,,matched,code,66,ATHA,ARTHALA,LN1,639ac2e6e264aca1c1ecdfc3,ATHA,ARTHALA,,ARTHALA,LN1,28.6729,77.3917
ashok-park-main,ASHOK PARK MAIN,,matched,code,94,APMN,ASHOK PARK MAIN,LN5,639ac2e6e264aca1c1ecdfc4,APMN,ASHOK PARK MAIN,,ASHOK PARK MAIN,LN5,28.6715791,77.1552039
ashram,ASHRAM,,matched,code,177,AHRM,ASHRAM,LN7,639ac2e6e264aca1c1ecdfc5,AHRM,ASHRAM,NEW INDIA INSURANCE ASHRAM,ASHRAM,LN7,28.5727649,77.258494
azadpur,AZADPUR,,matched,code,53,AZU,AZADPUR,LN2|LN7,639ac2e6e264aca1c1ecdfc6,AZU,AZADPUR,AZADPUR,AZADPUR,"LN2,LN7",28.707,77.1807
badarpur-border,BADARPUR BORDER,,matched,code,128,BAPB,BADARPUR BORDER,LN6,639ac2e6e264aca1c1ecdfc7,BAPB,BADARPUR BORDER,,BADARPUR BORDER,LN6,28.49325,77.3007813
badkal-mor,BADKAL MOR,,matched,code,133,BKMR,BADKAL MOR,LN6,639ac2e6e264aca1c1ecdfc8,BKMR,BADKAL MOR,,BADKAL MOR,LN6,28.4228115,77.3079462
bahadurgarh-city,BAHADURGARH CITY,,matched,code,112,BUSS,BAHADURGARH CITY,LN5,639ac2e6e264aca1c1ecdfc9,BUSS,BAHADURGARH CITY,,BAHADURGARH CITY,LN5,28.6906885,76.9352146
barakhamba-road,BARAKHAMBA ROAD,,matched,code,25,BRKR,BARAKHAMBA ROAD,LN3,639ac2e6e264aca1c1ecdfca,BRKR,BARAKHAMBA ROAD,,BARAKHAMBA ROAD,LN3,28.6299,77.2245
bata-chowk,BATA CHOWK,,matched,code,135,BACH,BATA CHOWK,LN6,639ac2e6e264aca1c1ecdfcb,BACH,BATA CHOWK,INDIAN OIL BATA CHOWK,BATA CHOWK,LN6,28.385109,77.3113603
belvedere-towers,BELVEDERE TOWERS,,matched,code,250,BEL,BELVEDERE TOWERS,LN11,639ac2e6e264aca1c1ecdfcc,BEL,BELVEDERE TOWERS,BELVEDERE TOWERS,BELVEDERE TOWERS,LN11,28.4923,77.0884
bhajanpura,BHAJANPURA,,matched,code,266,BJPU,BHAJANPURA,LN7,69ad8de4c162e4b8ee086e22,BJPU,BHAJANPURA,BHAJANPURA,BHAJANPURA,LN7,28.5703764,77.1843847
bhalaswa,BHALASWA,,matched,code,276,BLSW,BHALASWA,LN8EXTN,69ad8de4c162e4b8ee086e20,BLSW,BHALASWA,BHALASWA,BHALASWA,LN8,28.5703764,77.1843847
bhikaji-cama-place,BHIKAJI CAMA PLACE,,matched,code,173,BKCP,BHIKAJI CAMA PLACE,LN7,639ac2e6e264aca1c1ecdfcd,BKCP,BHIKAJI CAMA PLACE,GAIL BHIKAJI CAMA PLACE,BHIKAJI CAMA PLACE,LN7,28.5703764,77.1843847
botanical-garden,BOTANICAL GARDEN,,matched,code,140,BCGN,BOTANICAL GARDEN,LN3|LN8,639ac2e6e264aca1c1ecdfce,BCGN,BOTANICAL GARDEN,,BOTANICAL GARDEN,"LN3,LN8",28.564,77.3343
brig-hoshiar-singh,BRIG. HOSHIAR SINGH,,matched,code,113,CIPK,BRIG. HOSHIAR SINGH,LN5,639ac2e6e264aca1c1ecdfcf,CIPK,BRIG. HOSHIAR SINGH,,BRIG. HOSHIAR SINGH,LN5,28.6973662,76.9187353
burari,BURARI,,matched,code,271,BURI,BURARI,LN7,69ad8de4c162e4b8ee086e19,BURI,BURARI,BURARI,BURARI,LN7,28.5703764,77.1843847
central-secretariat,CENTRAL SECRETARIAT,,matched,code,60,CTST,CENTRAL SECRETARIAT,LN2|LN6,639ac2e6e264aca1c1ecdfd0,CTST,CENTRAL SECRETARIAT,CENTRAL SECRETARIAT PNB,CENTRAL SECRETARIAT,"LN2,LN6",28.6152,77.2123
chandni-chowk,CHANDNI CHOWK,,matched,code,22,CHK,CHANDNI CHOWK,LN2,639ac2e6e264aca1c1ecdfd1,CHK,CHANDNI CHOWK,,CHANDNI CHOWK,LN2,28.6588,77.2304
chawri-bazar,CHAWRI BAZAR,,matched,code,23,CWBR,CHAWRI BAZAR,LN2,639ac2e6e264aca1c1ecdfd2,CWBR,CHAWRI BAZAR,,CHAWRI BAZAR,LN2,28.6488,77.2263
chhatarpur,CHHATARPUR,,matched,code,40,CHTP,CHHATARPUR,LN2,639ac2e6e264aca1c1ecdfd3,CHTP,CHHATARPUR,,CHHATARPUR,LN2,28.5068,77.175
chirag-delhi,CHIRAG DELHI,,matched,code,151,CDLI,CHIRAG DELHI,LN8,639ac2e6e264aca1c1ecdfd4,CDLI,CHIRAG DELHI,Select City Walk Chirag Delhi,CHIRAG DELHI,LN8,28.5410031,77.2304831
